Station Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,long,lat,elev
1C18P - Mission Ridge,-3.24866,-10.7188,-4.87675,-0.9541,4.308468,7.506806,13.23159,13.09543,8.080284,2.425447,-4.61105,-4.39457,-122.2,50.767,1850
1D06P - Tenquille Lake,-3.087365591,-10.02857143,-4.181451613,-1.078888889,4.303225806,6.946805556,12.55860215,13.11317204,8.631444759,3.135887097,-3.627832168,-5.650134409,-122.933,50.533,1680
1D09P - Wahleach Lake,-0.07957,-6.12426,-1.02823,1.357361,4.822177,-7.37219,14.12708,14.06076,10.18241,5.414516,-0.96246,-1.83629,-121.583,49.233,1400
1D17P - Chilliwack River,0.141129032,-6.686755952,-2.409946237,-0.264305556,4.433333333,6.659305556,13.58037634,13.52382234,10.1470255,5.029166667,-1.371188811,-2.363172043,-121.717,49.033,1600
1D19P - Spuzzum Creek,-0.815322581,-6.982589286,-1.413324361,1.170972222,4.791666667,7.245555556,13.49139785,14.28169583,10.16345609,6.1625,-1.064664804,-2.206989247,-121.65,49.667,1180
1E02P - Mount Cook,-5.80672043,-11.5108631,-5.338172043,-0.29625,4.304301075,7.405555556,14.11545699,13.43091398,8.206515581,3.446930423,-6.213445378,-6.211292517,-121.65,49.667,1550
1F03P - Park Mountain ,-5.705376344,-11.45104167,-5.254301075,-1.434583333,4.371505376,7.0675,13.98790323,13.12002688,7.935127479,2.612365591,-6.182937063,-6.415322581,-118.617,50.45,1890
1F06P - Celista Mountain,-7.623014805,-4.780059524,-4.025537634,0.68875,7.091532258,7.794305556,14.29180108,14.93602151,12.36968011,2.523252688,-3.624581006,-8.563172043,-118.883,51.383,1551
2B06P - Barnes Creek,-5.670833333,-11.15892857,-3.69516129,0.415138889,4.754777927,8.382222222,14.52849462,12.96706989,8.064914773,3.745833333,-6.230098453,-6.581426649,-118.15,51.033,1620
2B08P - St. Leon Creek,-6.82097,-12.0871,-4.78266,-0.86944,4.003495,5.961806,12.84476,13.21692,7.579291,2.80914,-6.95562,-7.08102,-118.35,50.0667,1800
2C10P - Moyie Mountain,-6.11667,-12.0219,-4.70753,-0.27514,5.303091,8.364028,16.28817,14.20726,9.12847,4.420833,-5.85315,-6.52339,-115.767,49.25,1930
2C14P - Floe Lake,-7.95901,-14.2674,-6.83589,-2.1525,2.631586,6.052228,12.59382,10.62258,5.493501,1.760162,-8.26891,-9.20794,-116.133,51.05,2090
2D08P - East Creek,-6.77863,-13.039,-6.29261,-2.19125,3.365323,6.270417,13.39772,11.77272,6.783333,1.65336,-6.99832,-8.09126,-116.933,50.6333,2030
2D14P - Redfish Creek,-5.61358,-12.2195,-6.08091,-2.05958,3.898118,6.55625,14.37339,12.48266,7.864823,2.305511,-6.10308,-7.0496,-117.08333,49.683333,2104
2E07P - Grano Creek,-3.8457,-10.3598,-4.05901,-0.88792,4.719355,7.394028,14.76478,13.36505,8.563314,3.54664,-4.68137,-5.63669,-118.683,49.55,1860
2F05P - Mission Creek,-5.34812,-11.1232,-4.45511,-1.07917,4.292876,6.948056,14.0082,12.73091,7.605106,3.140054,-5.74853,-5.88441,-118.95,49.95,1780
2GO3P - Blackwall Peak,-2.466756393,-10.00520833,-3.842741935,-0.869401947,4.295967742,6.178055556,13.78802153,12.75268817,8.333994334,2.977837838,-4.308403361,-6.100892857,-120.767,49.1,1940
3A22P - Nostetuko River,-1.53159,-10.1885,-4.05336,1.375972,6.016509,8.893056,13.33925,13.73642,9.173295,4.698925,-3.50449,-4.64758,-124.45,51.25,1500
3A24P - Upper Mosley Creek,-3.173252688,-12.21845238,-6.929166667,-0.134861111,4.790725806,8.000694444,13.20766129,13.02755376,8.03929078,2.306317204,-6.102377622,-6.761424731,-124.617,51.7833,1650
3A25P - Upper Squamish River,-0.28078,-6.22738,-2.08763,0.852083,6.587634,8.817222,14.10349,14.58535,10.68867,4.650403,-0.82839,-2.74167,-123.433,50.15,1340
3B17P - Wolf River (Upper),2.355316,-4.63487,-1.19314,1.025417,6.469355,8.27,13.54508,14.70255,11.2875,5.313215,1.246968,-0.77624,-125.667,49.7,1490
3B23P - Jump Creek,5.25336043,-1.409375286,2.83185529,4.095000111,16.94954445,23.44138667,30.91158086,32.00376452,29.13899858,14.96875002,2.648698748,-1.797801828,-124.283,48.9667,1160
